,subtasks,description,crafter_subtasks
387,"['Defeat Zombie', 'Make Wood Pickaxe', 'Collect Stone']","""Vanquish the undead creature, craft a wooden pickaxe, and gather stones.""","['defeat_zombie', 'make_wood_pickaxe', 'collect_stone']"
388,"['Collect Wood', 'Eat Cow', 'Collect Sapling with count 3', 'Place Plant', 'Eat Plant']"," ""Seek three young Saplings, partake of a Cow's sustenance, enjoy the taste of various Plants, and gather Wood in abundance. Additionally, place a Plant in the desired location.""","['collect_wood', 'eat_cow', 'collect_sapling', 'collect_sapling', 'collect_sapling', 'place_plant', 'eat_plant']"
389,"['Collect Coal', 'Make Iron Pickaxe with count 1', 'Collect Diamond']","""Gather coal, manufacture a single iron pickaxe, and obtain a diamond.""","['collect_coal', 'make_iron_pickaxe', 'collect_diamond']"
390,"['Collect Sapling', 'Collect Wood', 'Place Table with count 2', 'Make Wood Pickaxe']"," ""Find a young sapling, collect firewood, place a table two times, and craft a wooden pick.""","['collect_sapling', 'collect_wood', 'place_table', 'place_table', 'make_wood_pickaxe']"
391,"['Make Wood Sword with count 2', 'Make Stone Pickaxe with count 1', 'Place Furnace']"," ""Fashion two wooden swords, then a single stone pickaxe, and finally set a furnace in its place.""","['make_wood_sword', 'make_wood_sword', 'make_stone_pickaxe', 'place_furnace']"
392,"['Collect Wood', 'Collect Diamond', 'Make Stone Sword']"," 'Seek out the ancient trees, find a gem of great worth, and forge a sturdy stone sword in the virtual realm.'","['collect_wood', 'collect_diamond', 'make_stone_sword']"
393,"['Defeat Skeleton', 'Collect Wood', 'Place Table', 'Make Wood Sword']","""Vanquish the bony adversary, gather timber, construct and position a table, and manufacture a lumber-based weapon.""","['defeat_skeleton', 'collect_wood', 'place_table', 'make_wood_sword']"
394,"['Make Wood Pickaxe', 'Collect Coal', 'Place Furnace']","""Fashion a wooden pickaxe, gather coal, and set up a furnace in the environment.""","['make_wood_pickaxe', 'collect_coal', 'place_furnace']"
395,"['Collect Coal', 'Collect Drink', 'Place Stone with count 3']","""Gather coal, obtain a beverage, and position a stone with a quantity of three.""","['collect_coal', 'collect_drink', 'place_stone', 'place_stone', 'place_stone']"
396,"['Collect Wood with count 4', 'Place Table with count 4', 'Make Wood Pickaxe', 'Collect Coal']"," ""Seek out four staves of wood, build a table with equal number, carve a pickaxe of timber, and delve into the earth for coal.""","['collect_wood', 'collect_wood', 'collect_wood', 'collect_wood', 'place_table', 'place_table', 'place_table', 'place_table', 'make_wood_pickaxe', 'collect_coal']"
397,"['Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone with count 2', 'Make Stone Sword']","""Gather firewood, construct a table, craft a wooden pickaxe, mine two stones using it, and then manufacture a stone sword.""","['collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'collect_stone', 'make_stone_sword']"
398,"['Collect Coal', 'Make Iron Pickaxe', 'Collect Coal']","""Gather coal and then fashion an iron pickaxe, followed by acquiring more coal.""","['collect_coal', 'make_iron_pickaxe', 'collect_coal']"
399,"['Make Iron Pickaxe', 'Collect Diamond', 'Collect Sapling', 'Place Plant', 'Eat Plant']"," ""Forge an iron pick, delve into the earth for a gem, find a young tree, plant it in the soil, and then taste the fruits of your labor.""","['make_iron_pickaxe', 'collect_diamond', 'collect_sapling', 'place_plant', 'eat_plant']"
400,"['Collect Sapling', 'Collect Stone', 'Place Stone']","""Gather a young tree, a rock, and then position the stone.""","['collect_sapling', 'collect_stone', 'place_stone']"
401,"['Collect Coal', 'Place Table', 'Make Stone Pickaxe with count 1', 'Collect Iron', 'Make Iron Sword']","""Gather a lump of coal, set up a table, craft a stone pickaxe, mine some iron, and fashion an iron sword.""","['collect_coal', 'place_table', 'make_stone_pickaxe', 'collect_iron', 'make_iron_sword']"
402,"['Eat Cow with count 1', 'Place Plant', 'Collect Stone', 'Make Stone Sword']","""Consume a single unit of bovine product, position a plant, gather a stone, and craft a blade from a stone.""","['eat_cow', 'place_plant', 'collect_stone', 'make_stone_sword']"
403,"['Collect Stone', 'Make Stone Pickaxe with count 3', 'Make Wood Pickaxe', 'Collect Coal', 'Make Iron Pickaxe']"," ""Seek three Stones, shape a Stone Pick, carve a Wood Pick, find Coal, and smith an Iron Pick.""","['collect_stone', 'make_stone_pickaxe', 'make_stone_pickaxe', 'make_stone_pickaxe', 'make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe']"
404,"['Collect Wood with count 3', 'Defeat Zombie', 'Collect Sapling']","Gather three pieces of timber, vanquish the undead creature, and acquire a young tree.","['collect_wood', 'collect_wood', 'collect_wood', 'defeat_zombie', 'collect_sapling']"
405,"['Make Stone Pickaxe', 'Collect Sapling', 'Place Plant']"," ""Seek a stone pickaxe, find a young tree, and place it in the earth for growth.""","['make_stone_pickaxe', 'collect_sapling', 'place_plant']"
406,"['Eat Cow', 'Make Wood Pickaxe', 'Collect Coal with count 1']"," ""Slay a noble beast of burden, carve a sturdy pick from the heart of a tree, and claim a lump of coal from the darkest cavern.""","['eat_cow', 'make_wood_pickaxe', 'collect_coal']"
407,"['Collect Stone', 'Place Furnace', 'Place Table with count 6', 'Make Wood Pickaxe', 'Collect Stone', 'Place Furnace']"," ""Gather some pebbles, kindle a fire in a humble stove, prepare a table for six, carve a wooden pickaxe, collect stones, and place the stove.""","['collect_stone', 'place_furnace', 'place_table', 'place_table', 'place_table', 'place_table', 'place_table', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'place_furnace']"
408,"['Make Iron Sword', 'Make Wood Sword', 'Collect Sapling', 'Place Plant with count 2', 'Eat Plant with count 1']","""Craft an iron blade, manufacture a wooden weapon, gather a young tree, position a vegetation specimen twice, and consume a flora specimen once.""","['make_iron_sword', 'make_wood_sword', 'collect_sapling', 'place_plant', 'place_plant', 'eat_plant']"
409,"['Collect Sapling with count 3', 'Place Plant with count 1', 'Place Table']","""Gather a trio of saplings, position a single plant, and situate a table in the environment.""","['collect_sapling', 'collect_sapling', 'collect_sapling', 'place_plant', 'place_table']"
410,"['Collect Iron', 'Make Iron Sword', 'Collect Drink']"," ""Seek the precious stone, shape it into a blade, and find a refreshing draught.""","['collect_iron', 'make_iron_sword', 'collect_drink']"
411,"['Eat Cow', 'Wake Up', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Pickaxe', 'Collect Iron', 'Make Iron Sword']"," ""Awake at dawn, break your fast with a hearty portion of beef. Fashion a wooden pickaxe from the trees, gather stones for your work. Once the sun has warmed the earth, upgrade to a stone pickaxe. Descend into the earth and mine for iron. Forge an iron sword from your labors, and let it serve you well.""","['eat_cow', 'wake_up', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe', 'collect_iron', 'make_iron_sword']"
412,"['Collect Wood', 'Place Table', 'Collect Sapling']","Gather firewood, construct a table, and obtain a young tree.","['collect_wood', 'place_table', 'collect_sapling']"
413,"['Collect Wood with count 1', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Sword']","""Gather exactly one piece of timber, construct a table, fashion a wooden pickaxe, gather some stones, and manufacture a stone sword.""","['collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'make_stone_sword']"
414,"['Collect Drink', 'Wake Up with count 3', 'Place Stone']","""Acquire a beverage, rise from your slumber on the third attempt, and situate a stone.""","['collect_drink', 'wake_up', 'wake_up', 'wake_up', 'place_stone']"
415,"['Make Wood Pickaxe', 'Collect Stone', 'Make Stone Pickaxe', 'Collect Iron', 'Make Iron Sword']"," ""Seek out the timber of the forest, shape it into a wooden pickaxe. With this tool, delve into the earth, extracting stone. From the stone, forge a pickaxe more durable. With this new tool, mine the iron from the mountains. And from the iron, craft a sword, a weapon worthy of a true hero.""","['make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe', 'collect_iron', 'make_iron_sword']"
416,"['Collect Sapling', 'Defeat Zombie', 'Eat Plant']","""Gather a young tree, vanquish a living dead, and consume a vegetable.""","['collect_sapling', 'defeat_zombie', 'eat_plant']"
417,"['Collect Wood', 'Place Table', 'Make Wood Pickaxe']","""Gather firewood, construct a table, and craft a wooden pickaxe.""","['collect_wood', 'place_table', 'make_wood_pickaxe']"
418,"['Defeat Zombie', 'Collect Coal', 'Make Iron Pickaxe']","""Vanquish the undead, gather lumps of carbon, and forge a pickaxe from iron.""","['defeat_zombie', 'collect_coal', 'make_iron_pickaxe']"
419,"['Collect Diamond', 'Collect Stone with count 6', 'Place Furnace']","""Gather a diamond, a half dozen stones, and a furnace for positioning.""","['collect_diamond', 'collect_stone', 'collect_stone', 'collect_stone', 'collect_stone', 'collect_stone', 'collect_stone', 'place_furnace']"
420,"['Eat Cow', 'Make Wood Pickaxe', 'Collect Coal']","""Consume beef, craft a wooden tool for mining, and gather charcoal.""","['eat_cow', 'make_wood_pickaxe', 'collect_coal']"
421,"['Collect Stone with count 1', 'Make Stone Pickaxe with count 1', 'Make Wood Pickaxe', 'Collect Stone']","""Gather one Stone, craft a Stone Pickaxe once, create a Wood Pickaxe, and obtain Stone.""","['collect_stone', 'make_stone_pickaxe', 'make_wood_pickaxe', 'collect_stone']"
422,"['Collect Stone', 'Place Stone', 'Make Wood Pickaxe with count 2', 'Collect Stone', 'Place Stone with count 3']"," ""Find two stones, shape a wooden pickaxe twice, and lay three stones in the land.""","['collect_stone', 'place_stone', 'make_wood_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'place_stone', 'place_stone', 'place_stone']"
423,"['Collect Coal', 'Eat Plant', 'Collect Coal', 'Make Iron Pickaxe with count 2']"," ""Seek two lumps of coal, dine on herbs and fruits, and twice, with gathered coal, forge a pickaxe of iron.""","['collect_coal', 'eat_plant', 'collect_coal', 'make_iron_pickaxe', 'make_iron_pickaxe']"
424,"['Make Iron Pickaxe', 'Collect Diamond', 'Defeat Skeleton']"," 'Bid the agent to forge an iron pickaxe, delve into the earth with it to unearth a diamond, and then vanquish a skeleton with the gem.'","['make_iron_pickaxe', 'collect_diamond', 'defeat_skeleton']"
425,"['Collect Wood', 'Make Iron Sword with count 1', 'Defeat Skeleton']","Gather firewood, forge a single iron blade, and vanquish the skeletal foe.","['collect_wood', 'make_iron_sword', 'defeat_skeleton']"
426,"['Collect Stone', 'Make Stone Sword with count 3', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Place Stone with count 2']","""Gather three stones, craft a stone sword, position a table, manufacture a wooden pickaxe, acquire two stones, and lay them down.""","['collect_stone', 'make_stone_sword', 'make_stone_sword', 'make_stone_sword', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'place_stone', 'place_stone']"
427,"['Eat Cow', 'Collect Iron', 'Eat Plant']","""Consume bovine creatures, gather metallic mineral, and ingest vegetation.""","['eat_cow', 'collect_iron', 'eat_plant']"
428,"['Make Wood Pickaxe', 'Collect Coal', 'Make Iron Pickaxe with count 1', 'Collect Diamond']","""Construct a wooden pickaxe, gather a coal stockpile, manufacture a single iron pickaxe, and amass a diamond assortment.""","['make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe', 'collect_diamond']"
429,"['Make Wood Pickaxe', 'Collect Stone', 'Make Stone Sword']","""Fashion a wooden pickaxe, gather some stones, and manufacture a stone sword.""","['make_wood_pickaxe', 'collect_stone', 'make_stone_sword']"
430,"['Collect Sapling', 'Place Plant', 'Collect Diamond']","  Sentence: 'Gather a sapling, put a plant in the ground, and obtain a diamond.'","['collect_sapling', 'place_plant', 'collect_diamond']"
431,"['Collect Iron with count 3', 'Collect Coal', 'Collect Diamond']","""Gather three units of Iron, mine Coal, and acquire a Diamond in the environment.""","['collect_iron', 'collect_iron', 'collect_iron', 'collect_coal', 'collect_diamond']"
432,"['Make Stone Sword', 'Collect Wood', 'Defeat Zombie']"," ""Fashion a stone knife, collect some wood, and slay a ghoul.""","['make_stone_sword', 'collect_wood', 'defeat_zombie']"
433,"['Eat Cow with count 1', 'Make Iron Pickaxe', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe with count 2', 'Collect Coal with count 3']","""Consume one Cow, forge an Iron Pickaxe, gather Wood, position a Table, manufacture two Wood Pickaxes, and accumulate Coal in quantities of three.""","['eat_cow', 'make_iron_pickaxe', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'make_wood_pickaxe', 'collect_coal', 'collect_coal', 'collect_coal']"
434,"['Collect Drink', 'Collect Stone', 'Collect Iron', 'Make Iron Sword']"," ""Secure a drink, a stone, and some iron. Then, in the fires of the forge, shape the iron into a sharpened blade.""","['collect_drink', 'collect_stone', 'collect_iron', 'make_iron_sword']"
435,"['Collect Sapling', 'Make Stone Pickaxe', 'Collect Drink']"," ""Find a sapling, carve a chisel from a stone, and brew a drink.""","['collect_sapling', 'make_stone_pickaxe', 'collect_drink']"
436,"['Collect Wood with count 3', 'Place Table', 'Collect Coal']"," ""Seek out three sturdy beams, craft a table from them, and gather some coal for warmth.""","['collect_wood', 'collect_wood', 'collect_wood', 'place_table', 'collect_coal']"
437,"['Eat Cow', 'Defeat Skeleton', 'Collect Diamond with count 2']","In this virtual environment, an agent should consume a bovine creature, vanquish a skeletal adversary, and obtain a precious gemstone with a quantity of two.","['eat_cow', 'defeat_skeleton', 'collect_diamond', 'collect_diamond']"
438,"['Make Iron Sword', 'Make Wood Sword', 'Collect Sapling', 'Place Plant with count 2', 'Eat Plant with count 1']"," ""Fashion an iron sword, carve a wooden staff, uproot a sapling, place a plant specimen in twain, and taste a herb once.""","['make_iron_sword', 'make_wood_sword', 'collect_sapling', 'place_plant', 'place_plant', 'eat_plant']"
439,"['Eat Cow', 'Make Wood Pickaxe', 'Defeat Skeleton']","""Consume beef, craft a wooden tool for mining, and vanquish a bony foe.""","['eat_cow', 'make_wood_pickaxe', 'defeat_skeleton']"
440,"['Eat Cow', 'Make Wood Pickaxe', 'Collect Stone']"," ""Slay a noble beast, carve a sturdy pick from the heart of a tree, and delve into the earth to claim the precious stone.""","['eat_cow', 'make_wood_pickaxe', 'collect_stone']"
441,"['Make Stone Sword', 'Collect Stone', 'Place Stone']","""Fashion a stone blade, gather some rocks, and position them strategically.""","['make_stone_sword', 'collect_stone', 'place_stone']"
442,"['Eat Cow', 'Make Iron Pickaxe', 'Collect Diamond']","""In the virtual environment, an agent should consume a bovine, forge an iron tool suitable for mining, and gather a precious mineral.""","['eat_cow', 'make_iron_pickaxe', 'collect_diamond']"
443,"['Collect Coal with count 3', 'Make Iron Pickaxe', 'Eat Cow with count 1']"," ""Seek out three lumps of coal, craft an iron pick, and dine on a cow.""","['collect_coal', 'collect_coal', 'collect_coal', 'make_iron_pickaxe', 'eat_cow']"
444,"['Make Wood Pickaxe', 'Make Stone Pickaxe', 'Collect Stone', 'Make Stone Sword']"," ""Fashion a pickaxe from wood, forge a pickaxe of stone, gather stones aplenty, and craft a sword of stone.""","['make_wood_pickaxe', 'make_stone_pickaxe', 'collect_stone', 'make_stone_sword']"
445,"['Collect Diamond with count 1', 'Eat Cow', 'Make Wood Pickaxe']"," 'Bid the agent to seek a single diamond, dine on a cow, and fashion a wooden pickaxe.'","['collect_diamond', 'eat_cow', 'make_wood_pickaxe']"
446,"['Defeat Zombie', 'Place Table with count 2', 'Collect Diamond']"," 'In the land of the virtual, the agent must seek to slay the Zombie, prepare a Table with two settings, and obtain a Diamond, a treasure of great worth.'","['defeat_zombie', 'place_table', 'place_table', 'collect_diamond']"
447,"['Make Iron Pickaxe with count 3', 'Collect Diamond', 'Defeat Zombie']","""Fashion a trio of Iron Pickaxes, mine a Diamond, and vanquish a Zombie.""","['make_iron_pickaxe', 'make_iron_pickaxe', 'make_iron_pickaxe', 'collect_diamond', 'defeat_zombie']"
448,"['Collect Sapling', 'Collect Wood', 'Place Table with count 2', 'Make Wood Pickaxe']","""Gather a young tree, accumulate lumber, position a table twice, and manufacture a wooden pickaxe.""","['collect_sapling', 'collect_wood', 'place_table', 'place_table', 'make_wood_pickaxe']"
449,"['Collect Coal', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe']","""Gather coal, accumulate timber, position a table, and manufacture a wooden pickaxe.""","['collect_coal', 'collect_wood', 'place_table', 'make_wood_pickaxe']"
450,"['Collect Diamond with count 2', 'Place Furnace', 'Defeat Skeleton']","In the virtual environment, an agent should aim to gather a diamond twice, construct a furnace, and vanquish a skeleton.","['collect_diamond', 'collect_diamond', 'place_furnace', 'defeat_skeleton']"
451,"['Make Wood Pickaxe', 'Collect Stone', 'Place Stone']"," ""Fashion a pickaxe from wood, gather some stones, and then place them with care.""","['make_wood_pickaxe', 'collect_stone', 'place_stone']"
452,"['Make Wood Pickaxe', 'Collect Coal with count 1', 'Make Wood Pickaxe', 'Collect Stone']"," ""Fashion a pickaxe of wood, mine a lump of coal with it, carve another pickaxe from wood, and gather some stones.""","['make_wood_pickaxe', 'collect_coal', 'make_wood_pickaxe', 'collect_stone']"
453,"['Collect Coal with count 3', 'Defeat Zombie', 'Place Table', 'Make Wood Pickaxe', 'Collect Coal with count 3']","""Gather three units of coal, vanquish the undead creature, construct a table, craft a wooden pickaxe, and amass another three pieces of coal.""","['collect_coal', 'collect_coal', 'collect_coal', 'defeat_zombie', 'place_table', 'make_wood_pickaxe', 'collect_coal', 'collect_coal', 'collect_coal']"
454,"['Eat Plant with count 1', 'Place Stone', 'Make Stone Pickaxe']"," ""Partake of a herb, shift a stone, and forge a pickaxe from the stony cliffs.""","['eat_plant', 'place_stone', 'make_stone_pickaxe']"
455,"['Eat Cow with count 3', 'Collect Wood', 'Place Table']"," ""Three Bovine beasts must be devoured, Firewood collected, and a Dining table established.""","['eat_cow', 'eat_cow', 'eat_cow', 'collect_wood', 'place_table']"
456,"['Collect Wood', 'Collect Stone', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone']","""Gather timber and rocks, construct a table, and manufacture a wooden pickaxe using the collected wood and stones.""","['collect_wood', 'collect_stone', 'place_table', 'make_wood_pickaxe', 'collect_stone']"
457,"['Eat Cow', 'Make Wood Pickaxe', 'Place Stone']"," ""Slaughter a cow, carve a timber pickaxe, and place a stone block.""","['eat_cow', 'make_wood_pickaxe', 'place_stone']"
458,"['Defeat Zombie', 'Collect Wood', 'Place Table with count 3', 'Make Wood Pickaxe', 'Collect Stone', 'Place Stone']"," ""Slay the ghastly undead, gather the sturdy timber, set up a table three times, craft a tool from the lumber, mine the precious minerals, and lay down the solid stones.""","['defeat_zombie', 'collect_wood', 'place_table', 'place_table', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'place_stone']"
459,"['Make Wood Pickaxe', 'Collect Coal', 'Collect Stone', 'Place Stone']"," ""Fashion a pickaxe of wood, gather the black rock, delve into the mountainside, and lay down the grey stone.""","['make_wood_pickaxe', 'collect_coal', 'collect_stone', 'place_stone']"
460,"['Collect Wood with count 1', 'Collect Drink', 'Eat Plant']","""Gather firewood, obtain a beverage, and consume a plant.""","['collect_wood', 'collect_drink', 'eat_plant']"
461,"['Collect Drink', 'Collect Stone', 'Eat Cow']"," ""Obtain a drink, a stone, and a cow's flesh. Enjoy them in peace and comfort.""","['collect_drink', 'collect_stone', 'eat_cow']"
462,"['Collect Wood with count 1', 'Eat Cow with count 3', 'Collect Sapling']","""Gather a piece of wood, dine on three cows, and acquire a sapling.""","['collect_wood', 'eat_cow', 'eat_cow', 'eat_cow', 'collect_sapling']"
463,"['Make Wood Pickaxe', 'Collect Wood', 'Place Table']"," ""Craft a pickaxe of wood, gather logs aplenty, and place a table for thine use.""","['make_wood_pickaxe', 'collect_wood', 'place_table']"
464,"['Collect Stone with count 1', 'Make Stone Pickaxe', 'Collect Stone']","""Gather one unit of stone, craft a pickaxe from it, and then collect more stone.""","['collect_stone', 'make_stone_pickaxe', 'collect_stone']"
465,"['Collect Coal', 'Make Iron Pickaxe', 'Make Wood Pickaxe', 'Collect Stone with count 6', 'Place Furnace']"," ""Gather coals from the earth, forge an iron and wooden pickaxe, collect six smooth stones, and place a furnace in the land.""","['collect_coal', 'make_iron_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'collect_stone', 'collect_stone', 'collect_stone', 'collect_stone', 'collect_stone', 'place_furnace']"
466,"['Make Iron Sword', 'Collect Sapling', 'Defeat Zombie']"," ""Fashion a blade of iron, find a sprout of the green, and slay a wighted spirit.""","['make_iron_sword', 'collect_sapling', 'defeat_zombie']"
467,"['Collect Stone', 'Place Furnace with count 5', 'Collect Sapling', 'Place Plant', 'Eat Plant']"," ""Find a stone, place a forge with five coals, obtain a seedling, set a tree, and eat a herb.""","['collect_stone', 'place_furnace', 'place_furnace', 'place_furnace', 'place_furnace', 'place_furnace', 'collect_sapling', 'place_plant', 'eat_plant']"
468,"['Defeat Zombie', 'Collect Stone', 'Collect Wood']"," 'Bid the valiant agent to purge the land of the unliving, collect gems, and gather wood in the enchanted realm of the virtual.'","['defeat_zombie', 'collect_stone', 'collect_wood']"
469,"['Collect Diamond with count 3', 'Make Iron Pickaxe', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone']","""Gather three Diamonds, craft an Iron Pickaxe, obtain Wood, construct a Table, manufacture a Wood Pickaxe, and amass Stone.""","['collect_diamond', 'collect_diamond', 'collect_diamond', 'make_iron_pickaxe', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone']"
470,"['Collect Wood', 'Place Table', 'Make Wood Sword']"," ""Secure the timber, build a table, and craft a wooden weapon, as if in the Shire.""","['collect_wood', 'place_table', 'make_wood_sword']"
471,"['Collect Stone with count 2', 'Place Plant with count 1', 'Place Table']"," ""Find two stones, place a solitary plant, and set a table in the surrounding.""","['collect_stone', 'collect_stone', 'place_plant', 'place_table']"
472,"['Collect Coal', 'Place Stone', 'Collect Sapling', 'Place Plant']","""Gather coal, put down a stone, accumulate a sapling, and set out a plant.""","['collect_coal', 'place_stone', 'collect_sapling', 'place_plant']"
473,"['Collect Sapling with count 3', 'Place Plant', 'Eat Cow']","""Gather a trio of saplings, transplant a shrub, and consume a bovine.""","['collect_sapling', 'collect_sapling', 'collect_sapling', 'place_plant', 'eat_cow']"
474,"['Collect Stone', 'Collect Coal', 'Collect Wood']"," 'Collect stones, coal as black as night, and wood from the forest.'","['collect_stone', 'collect_coal', 'collect_wood']"
475,"['Make Wood Pickaxe', 'Collect Stone', 'Place Furnace']"," ""Fashion a pickaxe from wood, gather some stones, and establish a furnace in the land.""","['make_wood_pickaxe', 'collect_stone', 'place_furnace']"
476,"['Collect Wood', 'Place Table', 'Make Wood Sword']","""Gather timber, construct a table, and fashion a wooden weapon.""","['collect_wood', 'place_table', 'make_wood_sword']"
477,"['Defeat Zombie', 'Place Furnace', 'Place Plant']"," ""Slay the ghastly revenant, kindle a blazing furnace, and place a verdant plant.""","['defeat_zombie', 'place_furnace', 'place_plant']"
478,"['Collect Wood', 'Place Table', 'Make Wood Sword']"," ""Secure the timber, build a table, and craft a wooden weapon, as if in the Shire.""","['collect_wood', 'place_table', 'make_wood_sword']"
479,"['Defeat Zombie', 'Collect Wood with count 3', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Coal with count 2', 'Make Iron Pickaxe']","""Vanquish the undead creature, gather three units of lumber, amass additional firewood, construct a table, manufacture a wooden pickaxe, acquire two units of coal, and forge an iron pickaxe.""","['defeat_zombie', 'collect_wood', 'collect_wood', 'collect_wood', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_coal', 'collect_coal', 'make_iron_pickaxe']"
480,"['Make Wood Pickaxe', 'Collect Stone', 'Place Furnace']"," ""Fashion a pickaxe from wood, gather some stones, and establish a furnace in the land.""","['make_wood_pickaxe', 'collect_stone', 'place_furnace']"
481,"['Collect Sapling', 'Eat Cow', 'Collect Diamond']","""Gather a sapling, graze on a bovine, and retrieve a diamond.""","['collect_sapling', 'eat_cow', 'collect_diamond']"
482,"['Make Stone Pickaxe', 'Place Furnace', 'Collect Iron', 'Make Iron Sword']"," ""Craft a stone pick, set a furnace, mine iron, and fashion an iron blade.""","['make_stone_pickaxe', 'place_furnace', 'collect_iron', 'make_iron_sword']"
483,"['Collect Iron', 'Make Iron Sword', 'Collect Iron']","""Gather the necessary iron components and forge them into a sword within the environment.""","['collect_iron', 'make_iron_sword', 'collect_iron']"
484,"['Eat Plant', 'Defeat Skeleton', 'Make Stone Pickaxe', 'Collect Iron']"," 'Bid the agent to taste a veggie, defeat a bony foe, forge a stony pick for mining, and gather a hoard of shimmering stones.'","['eat_plant', 'defeat_skeleton', 'make_stone_pickaxe', 'collect_iron']"
485,"['Collect Sapling', 'Place Plant', 'Collect Sapling']"," ""Find a young sapling, plant it in the earth, and then seek another.""","['collect_sapling', 'place_plant', 'collect_sapling']"
486,"['Make Stone Pickaxe', 'Place Furnace', 'Eat Cow']","""Craft a stone pickaxe, install a furnace, and consume a cow.""","['make_stone_pickaxe', 'place_furnace', 'eat_cow']"
487,"['Make Stone Sword with count 1', 'Make Stone Pickaxe', 'Collect Iron']"," 'Fashion a stone knife from a single piece, forge a stone pick, and mine for iron in the mountains.'","['make_stone_sword', 'make_stone_pickaxe', 'collect_iron']"
488,"['Make Iron Sword', 'Make Stone Sword', 'Make Stone Pickaxe', 'Collect Iron']","""Forge an iron blade, craft a stony weapon, manufacture a stone pickaxe, and gather iron materials.""","['make_iron_sword', 'make_stone_sword', 'make_stone_pickaxe', 'collect_iron']"
489,"['Eat Cow', 'Make Wood Pickaxe', 'Collect Stone with count 1', 'Make Stone Sword']"," ""Partake of the noble meat of the ox, shape a pickaxe from the timber of the tree, gather a stone from the earth, and forge a sword of stone.""","['eat_cow', 'make_wood_pickaxe', 'collect_stone', 'make_stone_sword']"
490,"['Eat Cow', 'Place Plant', 'Collect Stone', 'Make Stone Sword']","""Consume bovine flesh, position greenery, gather pebbles, forge a lithic weapon.""","['eat_cow', 'place_plant', 'collect_stone', 'make_stone_sword']"
491,"['Make Wood Pickaxe', 'Collect Stone', 'Place Stone']","""Fashion a wooden pickaxe, gather some rocks, and position them accordingly.""","['make_wood_pickaxe', 'collect_stone', 'place_stone']"
492,"['Make Stone Pickaxe', 'Collect Stone', 'Wake Up']"," ""Gather the needed tools and materials for a stone pickaxe, mine the stony treasure, and awaken from your slumber.""","['make_stone_pickaxe', 'collect_stone', 'wake_up']"
493,"['Make Stone Sword with count 1', 'Defeat Skeleton', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Coal']"," ""Take up a stone sword, dear adventurer, and face the skeletal foe. Gather timber for a table, craft a pickaxe of wood, and seek the treasure of coal in the earth's embrace.""","['make_stone_sword', 'defeat_skeleton', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_coal']"
494,"['Collect Diamond', 'Make Wood Sword', 'Collect Coal', 'Make Iron Pickaxe', 'Collect Diamond']"," ""Seek a gem of diamond, carve a staff of wood, gather coals of stone, forge a pick of iron, and reclaim a gem of diamond.""","['collect_diamond', 'make_wood_sword', 'collect_coal', 'make_iron_pickaxe', 'collect_diamond']"
495,"['Make Wood Pickaxe', 'Collect Stone', 'Place Furnace']","""Craft a wooden pickaxe, gather some rocks, and set up a furnace in the environment.""","['make_wood_pickaxe', 'collect_stone', 'place_furnace']"
496,"['Eat Cow with count 2', 'Collect Sapling with count 1', 'Place Plant', 'Eat Plant with count 3']"," ""Create a Tree-dwelling, manufacture three pieces of Timber, fashion an Axe, and visit the Tree-dwelling.""","['eat_cow', 'eat_cow', 'collect_sapling', 'place_plant', 'eat_plant', 'eat_plant', 'eat_plant']"
497,"['Collect Sapling', 'Collect Stone', 'Collect Coal', 'Make Iron Pickaxe', 'Collect Diamond']","""Gather a sapling, a stone, and some coal, then forge an iron pickaxe and mine for diamonds.""","['collect_sapling', 'collect_stone', 'collect_coal', 'make_iron_pickaxe', 'collect_diamond']"
